,domain,lat,lon
0,0,12.183342147684966,-72.73040206001144
1,0,11.507106008416041,-72.73186447061117
2,0,11.169586646191432,-73.32569487
3,0,11.50710600841604,-73.91952526938884
4,0,12.183342147684966,-73.92098767998857
5,0,12.522084901559994,-73.32569487
0,1,10.83088515931857,-72.73323781847007
1,1,10.154587750732775,-72.73452328317771
2,1,9.816966518666222,-73.32569487
3,1,10.154587750732773,-73.91686645682232
4,1,10.83088515931857,-73.91815192152995
5,1,11.169586646191418,-73.32569487
0,2,9.473937364222147,-72.73318908012106
1,2,8.794673738497135,-72.73431013900746
2,2,8.455502331397382,-73.32569487
3,2,8.794673738497135,-73.91707960099257
4,2,9.473937364222147,-73.91820065987896
5,2,9.814054632631287,-73.32569487
0,3,8.111607509682326,-72.7331355873198
1,3,7.429748132357179,-72.73409084644999
2,3,7.089210407296627,-73.32569487
3,3,7.429748132357179,-73.91729889355003
4,3,8.111607509682326,-73.91825415268023
5,3,8.452953984999008,-73.32569487
0,4,6.74464694465838,-72.73307730374692
1,4,6.060569561876716,-72.73386553820694
2,4,5.7188531901177955,-73.32569487
3,4,6.060569561876715,-73.91752420179309
4,4,6.74464694465838,-73.9183124362531
5,4,7.087032588201767,-73.32569487
0,5,5.373820080444692,-72.73301420207407
1,5,4.687908699102195,-72.73363436115505
2,5,4.345204664085994,-73.32569487
3,5,4.687908699102194,-73.91775537884496
4,5,5.373820080444692,-73.91837553792595
5,5,5.717051907010379,-73.32569487
0,6,3.9999023145638932,-72.73294627806938
1,6,3.312546155168938,-72.73339748971456
2,6,2.9690482357417234,-73.32569487
3,6,3.3125461551689375,-73.91799225028547
4,6,3.9999023145638932,-73.91844346193064
5,6,4.343784922447433,-73.32569487
0,7,2.623677880961501,-72.73287354771571
1,7,1.9352702907395676,-72.73315512225187
2,7,1.5911745233260282,-73.32569487
3,7,1.9352702907395671,-73.91823461774815
4,7,2.623677880961501,-73.9185161922843
5,7,2.968014000661414,-73.32569487
0,8,1.2459376397701873,-72.73279604913901
1,8,0.5568749790387825,-72.73290748224655
2,8,0.2123791052022406,-73.32569487
3,8,0.5568749790387819,-73.91848225775348
4,8,1.2459376397701873,-73.918593690861
5,8,1.5905286947881605,-73.32569487
0,9,-0.1325231816286165,-72.73271384079872
1,9,-0.8218426762929157,-72.73265481569821
2,9,-1.1665397751944144,-73.32569487
