domain,lat,lon,locality,administrative_area_level_5,administrative_area_level_4,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,country
0,11.84585188,-73.32569487,,,,,,,Colombia
1,10.49329094,-73.32569487,,,,,Valledupar,Cesar,Colombia
2,9.134791159,-73.32569487,,,,,Curumaní,Cesar,Colombia
3,7.771093114,-73.32569487,,,,,Cáchira,Norte de Santander,Colombia
4,6.402951979,-73.32569487,,,,,Simacota,Santander,Colombia
5,5.031135489,-73.32569487,,,,,Macanal,Boyacá,Colombia
6,3.656421849,-73.32569487,,,,,San Martín,Meta,Colombia
7,2.279597563,-73.32569487,,,,,San José Del Guaviare,Guaviare,Colombia
8,0.901455209,-73.32569487,,,,,Solano,Caquetá,Colombia
9,-0.477208833,-73.32569487,,,,,Solano,Caquetá,Colombia
10,37.80010735,124.8902397,Incheon,,,,,,South Korea
11,-35.80464359,173.8471874,Mamaranui,,,,,Northland,New Zealand
12,-39.08751827,173.8471874,Okato,,,,,Taranaki,New Zealand
13,-41.19520853,173.8471874,Tennyson Inlet,,,,,Marlborough,New Zealand
14,53.54088158,75.93329199,Tserkovnoye,,,,Zhelezin District,Pavlodar Province,Kazakhstan
15,-42.22443984,173.8471874,Waipapa Bay,,,,,Canterbury,New Zealand
16,52.71360113,75.93329199,,,,,Aktogay District,Pavlodar oblısı,Kazakhstan
17,51.87033084,75.93329199,,,,,Ekibastuz District,Pavlodar oblısı,Kazakhstan
18,51.0109479,75.93329199,,,,,Bayanaul District,Pavlodar oblısı,Kazakhstan
19,50.13534151,75.93329199,,,,,Karkaraly District,Qarağandı oblısı,Kazakhstan
20,49.24341381,75.93329199,,,,,Karkaraly District,Qarağandı oblısı,Kazakhstan
21,48.33508079,75.93329199,,,,,Aktogay District,Karagandy Province,Kazakhstan
22,47.41027321,75.93329199,,,,,Aktogay District,Karagandy Province,Kazakhstan
23,-26.37770562,25.7822724,,,,,Ngaka Modiri Molema,North West,South Africa
24,46.46893764,75.93329199,,,,,Balkhash District,Almaty Province,Kazakhstan
25,-27.6062107,25.7822724,,,,,Lejweleputswa,Free State,South Africa
26,45.51103734,75.93329199,,,,,Balkhash District,Almatı oblısı,Kazakhstan
27,-28.82109605,25.7822724,,,,,Lejweleputswa,Free State,South Africa
28,-49.41617065,-73.32569487,,,,,Lago Argentino Department,Santa Cruz Province,Argentina
29,44.53655332,75.93329199,,,,,Ile District,Almaty Province,Kazakhstan
30,-30.02197263,25.7822724,Trompsburg,,,,Xhariep,Free State,South Africa
31,-50.30495338,-73.32569487,,,,,Lago Argentino Department,Santa Cruz Province,Argentina
32,43.54548524,75.93329199,,,,,Jambıl awdanı,Almatı oblısı,Kazakhstan
33,-31.20848067,25.7822724,,,,,Drakensberg District,Eastern Cape,South Africa
34,-32.38028946,25.7822724,,,,,Stormberg District,Eastern Cape,South Africa
35,-33.53709715,25.7822724,,,,,Western District,Eastern Cape,South Africa
36,-14.11919162,124.8902397,,,,,,,Australia
37,-15.45221672,124.8902397,Prince Regent River,,,,,Western Australia,Australia
38,-16.77672497,124.8902397,King Leopold Ranges,,,,Shire of Derby-West Kimberley,Western Australia,Australia
