Taxon_ID,AB-Mix1,AB-Mix2,AB-Mix3,AB-Mix4
Taxon2,14,19,0,0
Taxon32,15536,13664,10288,10063
Taxon1,11500,9649,7919,7508
Taxon1335,11408,8702,7451,6279
Taxon3,959,750,864,601
Taxon19,4908,4103,3653,2814
Taxon7639,2797,2471,2076,1995
Taxon351,0,0,0,0
Taxon1625,0,0,0,0
Taxon2661,2020,2088,2196,1158
Taxon11918,0,0,0,0
Taxon2583,1965,2069,1814,1497
Taxon54,0,0,0,0
Taxon4,1231,1118,1345,1051
Taxon299,0,0,0,0
Taxon18,0,0,0,0
Taxon29,0,0,0,0
Taxon622,1143,1161,1284,882
Taxon23,941,1045,800,527
Taxon16,0,0,0,0
Taxon5,532,559,597,425
Taxon255,0,0,0,0
Taxon89,0,0,0,0
Taxon7462,0,0,0,0
Taxon246,0,0,0,0
Taxon4513,0,0,0,0
Taxon508,732,404,821,703
Taxon101,547,1025,609,760
Taxon20,0,0,0,0
Taxon41,0,0,0,0
Taxon801,0,0,0,0
Taxon9,0,0,0,0
Taxon7,0,10,0,0
Taxon8034,0,0,0,0
Taxon93,731,616,521,451
Taxon74,0,0,0,0
Taxon13,577,471,537,593
Taxon6089,0,0,0,0
Taxon5788,0,0,0,0
Taxon1516,508,369,457,211
Taxon232,0,644,592,0
Taxon547,797,451,518,278
Taxon343,0,0,0,0
Taxon6120,0,0,0,0
Taxon97,0,0,0,0
Taxon4398,0,0,0,0
Taxon2840,0,0,0,0
Taxon94,0,0,0,0
Taxon1204,0,0,0,0
Taxon30,0,0,0,0
Taxon1878,0,0,0,0
Taxon14,105,0,73,0
Taxon278,324,182,210,270
Taxon698,43,244,231,113
Taxon4742,354,295,399,432
Taxon174,0,0,0,0
Taxon83,168,353,182,42
Taxon151,0,0,0,0
Taxon1934,341,282,208,118
Taxon911,307,304,430,0
Taxon764,296,348,209,140
Taxon316,190,247,399,100
Taxon479,0,0,0,0
Taxon10253,0,0,0,0
Taxon657,0,0,0,0
Taxon469,0,0,0,0
Taxon250,0,0,0,0
Taxon3086,0,0,0,0
Taxon43,295,147,356,138
Taxon1616,0,0,0,0
Taxon382,273,262,208,48
Taxon5338,241,301,154,161
Taxon38,63,71,103,26
Taxon9364,0,0,0,0
Taxon28,0,0,0,14
Taxon12,0,0,0,0
Taxon1017,0,0,0,0
Taxon11027,0,0,0,0
Taxon927,203,275,170,122
Taxon450,0,0,0,0
Taxon59,55,85,112,135
Taxon361,0,0,0,0
Taxon64,0,0,0,0
Taxon104,0,0,0,0
Taxon3250,0,0,0,0
Taxon12095,0,0,0,0
Taxon45,0,0,36,0
Taxon127,0,0,0,0
Taxon339,0,0,0,0
Taxon1587,0,0,0,0
Taxon1655,0,0,0,0
Taxon1327,131,169,105,85
Taxon379,0,0,0,0
Taxon861,0,0,0,0
Taxon27,182,221,0,161
Taxon684,182,63,280,127
Taxon2440,147,85,71,122
Taxon373,231,49,90,25
Taxon125,0,0,0,55
Taxon84,189,111,0,172
Taxon21,63,63,0,135
Taxon116,309,0,109,0
Taxon90,76,84,107,97
Taxon4482,187,124,72,82
Taxon87,124,0,66,45
Taxon44,42,20,0,48
Taxon1663,165,188,116,0
Taxon4676,0,0,0,0
Taxon306,28,87,208,54
Taxon2651,100,57,92,50
Taxon2179,54,224,38,43
Taxon847,0,0,0,0
Taxon689,225,126,74,78
Taxon1023,126,132,69,79
Taxon33,0,0,19,0
Taxon122,0,0,0,0
Taxon182,131,43,26,94
Taxon129,0,159,0,133
Taxon452,130,139,62,56
Taxon79,267,54,84,52
Taxon3888,0,0,0,0
Taxon3518,327,105,99,99
Taxon1221,145,123,153,0
Taxon1067,168,47,85,39
Taxon36,0,0,0,0
Taxon18988,0,0,0,0
Taxon292,100,83,131,50
Taxon723,0,0,0,0
Taxon4141,0,0,0,0
Taxon164,100,73,88,104
Taxon31,95,22,7,37
Taxon108,40,70,76,0
Taxon20416,121,113,30,32
Taxon2226,0,238,63,84
Taxon784,0,0,0,0
Taxon7024,138,80,98,104
Taxon388,79,91,0,114
Taxon4547,0,134,105,0
Taxon2448,204,17,97,0
Taxon4107,102,108,83,86
Taxon22,0,0,0,0
Taxon7123,33,38,57,87
Taxon3924,124,0,176,106
